,Year,State_Abbrevation,Popultion,Robbery,Homicide,Burglary,Motor Vehicle Theft
0,2020,CA,39368078,44728,2203,145529,168323
1,2020,CO,5807719,3964,294,23246,30452
2,2020,FL,21733312,13521,1290,52293,38271
3,2020,IL,12587530,12261,1151,31020,21332
4,2020,LA,4645318,3747,734,23698,12400
5,2020,MA,6893574,3015,160,10323,6835
6,2020,MN,5657342,3877,190,17370,14146
7,2020,NV,3138259,2785,180,11574,10556
8,2020,NJ,8882371,4384,329,12983,10278
9,2020,NY,19336776,17525,808,32003,19656
10,2020,NC,10600823,7340,852,49952,20520
11,2020,OH,11693217,7826,820,37279,20077
12,2020,OR,4241507,2180,125,14386,16585
13,2020,RI,1057125,336,32,1763,1509
14,2020,TN,6886834,5575,663,26479,21098
15,2020,TX,29360759,26834,1931,108851,84276
16,2020,WA,7693612,5183,301,40167,27399
17,2020,DC,712816,2373,201,1964,3399
