,State,Country,Zip Code,Year,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
0,North Carolina,us,28801,2020,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25
1,Texas,us,78703,2020,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25
2,Massachusetts,us,02199,2020,12.75,12.75,7.25,7.25,12.75,12.75,258.66,12.75,12.75,12.75,12.75,12.75
3,Massachusetts,us,02139,2020,12.75,12.75,7.25,7.25,12.75,12.75,258.66,12.75,12.75,12.75,12.75,12.75
4,Florida,us,33315,2020,8.56,8.56,7.25,7.25,8.56,8.56,258.66,8.56,8.56,8.56,8.56,8.56
5,Illinois,us,60622,2020,9.25,9.25,7.25,7.25,9.25,9.25,258.66,9.25[c],9.25,9.25,9.25,9.25
6,Nevada,us,89109,2020,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25-8.25,7.25,7.25,8.25,8.25
7,Ohio,us,43201,2020,8.7,8.7,7.25,7.25,8.7,8.7,258.66,8.7,8.7,8.7,8.7,8.7
8,Colorado,us,80218,2020,12.0,12.0,7.25,7.25,12.0,12.0,258.66,12,12.0,12.0,12.0,12.0
9,Hawaii,us,96761,2020,10.1,10.1,7.25,7.25,10.1,10.1,258.66,10.1,10.1,10.1,10.1,10.1
10,New Jersey,us,07306,2020,11.0,11.0,7.25,7.25,11.0,11.0,258.66,11,11.0,11.0,11.0,11.0
11,California,us,90019,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
12,California,us,94610,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
13,California,us,93950,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
14,California,us,95050,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
15,California,us,92110,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
16,California,us,94143,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
17,California,us,94010,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
18,California,us,95065,2020,13.0,13.0,7.25,7.25,13.0,13.0,258.66,13,13.0,13.0,13.0,13.0
19,Tennessee,us,37201,2020,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0
20,Louisiana,us,70112,2020,0.0,0.0,7.25,7.25,7.25,7.25,258.66,...,0.0,0.0,0.0,0.0
21,New York,us,11222,2020,11.8,11.8,7.25,7.25,11.8,11.8,258.66,11.8,11.8,11.8,11.8,11.8
22,Oregon,us,97232,2020,11.25,11.25,7.25,7.25,11.25,11.25,258.66,11.25,11.25,11.25,11.25,11.25
23,Oregon,us,97301,2020,11.25,11.25,7.25,7.25,11.25,11.25,258.66,11.25,11.25,11.25,11.25,11.25
24,Rhode Island,us,02835,2020,10.5,10.5,7.25,7.25,10.5,10.5,258.66,10.5,10.5,10.5,10.5,10.5
25,Washington,us,98191,2020,13.5,13.5,7.25,7.25,13.5,13.5,258.66,13.5,13.5,13.5,13.5,13.5
26,Minnesota,us,55415,2020,8.15,8.15,7.25,7.25,8.15,8.15,258.66,8.15-10.00(g),8.15,8.15,10.0,10.0
27,District of Columbia,us,20001,2020,14.0,14.0,7.25,7.25,14.0,14.0,258.66,14,14.0,14.0,14.0,14.0
