,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
0,Asheville,35.6009,-82.554,45.28,87,40,3.44
1,Austin,30.2672,-97.7431,76.53,44,75,14.0
2,Boston,42.3584,-71.0598,43.34,74,0,8.01
3,Broward County,26.1223,-80.1434,77.86,86,100,18.41
4,Cambridge,43.3601,-80.3127,43.09,70,75,11.5
5,Chicago,41.85,-87.65,47.86,52,0,9.22
6,Clark County,36.0972,-115.1467,80.24,25,20,9.22
7,Columbus,39.9612,-82.9988,39.54,77,0,4.61
8,Denver,39.7392,-104.9847,51.17,60,4,3.87
9,Hawaii,20.8783,-156.6825,79.61,91,69,5.48
10,Jersey City,40.7282,-74.0776,47.75,64,0,5.75
11,Los Angeles,34.09,-118.3617,70.03,83,0,9.22
12,Nashville,36.1659,-86.7844,46.09,67,0,0.0
13,New Orleans,29.9547,-90.0751,74.08,56,0,19.57
14,New York City,40.7143,-74.006,48.79,63,0,5.75
15,Oakland,37.8244,-122.2316,58.3,81,20,8.99
16,Pacific Grove,36.6177,-121.9166,57.54,91,100,5.99
17,Portland,45.5234,-122.6762,69.73,64,20,5.99
18,Rhode Island,42.097,-79.2353,44.38,70,100,10.36
19,Salem,11.65,78.1667,77.2,94,100,3.44
20,San Clara Country,22.4,-79.9667,76.66,94,20,5.75
21,San Diego,32.7153,-117.1573,67.51,88,75,1.01
22,San Francisco,37.7749,-122.4194,56.46,91,20,10.36
23,San Mateo County,37.4499,-122.3511,52.81,88,0,10.36
24,Santa Cruz County,36.988,-121.9566,58.39,85,100,3.0
25,Seattle,47.6062,-122.3321,61.09,75,0,9.22
26,Twin Cities MSA,44.98,-93.2638,53.71,46,100,5.75
27,Washington D.C.,38.8951,-77.0364,43.03,84,0,0.0
