,state,country,zip_code,id
0,North Carolina,us,28801,1
1,Texas,us,78703,2
2,Massachusetts,us,2118,3
3,Florida,us,33315,4
4,Massachusetts,us,2139,5
5,Illinois,us,60622,6
6,Nevada,us,89109,7
7,Ohio,us,43201,8
8,Colorado,us,80218,9
9,Hawaii,us,96761,10
10,New Jersey,us,7302,11
11,California,us,90019,12
12,Tennessee,us,37201,13
13,Louisiana,us,70112,14
14,New York,us,11222,15
15,California,us,94610,16
16,California,us,93950,17
17,Oregon,us,97232,18
18,Rhode Island,us,2835,19
19,Oregon,us,97301,20
20,California,us,95050,21
21,California,us,92111,22
22,California,us,94114,23
23,California,us,94010,24
24,California,us,95065,25
25,Washington,us,98191,26
26,Minnesota,us,55402,27
27,District of Columbia,us,20001,28
